"","X","name","url","state","town","vertical","base","snow","trails","acres","longestRun","snowMaking","lifts","lat","lon","ticket"
"273",273,"Blandford Ski Area","http://www.skicentral.com/blandfordskiarea.html","Massachusetts","Blandford, Massachusetts ",465,1220,50,22,158,"n/a","yes",5,42.19584,-72.916617,45
"274",274,"Blue Hills Ski Area","http://www.skicentral.com/bluehillsskiarea.html","Massachusetts","Canton, Massachusetts ",309,NA,NA,12,60,"n/a","yes",4,42.2158315,-71.1190756,45
"275",275,"Bousquet Ski Area","http://www.skicentral.com/bousquetskiarea.html","Massachusetts","Pittsfield, Massachusetts Mountain",750,NA,NA,23,200,"n/a","yes",5,42.418008,-73.277199,47
"276",276,"Mount Greylock Ski Club","http://www.skicentral.com/mountgreylockskiclub.html","Massachusetts","character(0)",350,NA,NA,17,NA,"n/a","no",2,42.6375821,-73.1662155,NA
"277",277,"Nashoba Valley","http://www.skicentral.com/nashobavalley.html","Massachusetts","Westford, Massachusetts ",240,NA,50,17,NA,"2640 feet / 805 metres","yes",10,42.542564,-71.445036,55
"278",278,"Otis Ridge","http://www.skicentral.com/otisridge.html","Massachusetts","Otis, Massachusetts ",400,1300,NA,10,70,"n/a","yes",3,42.1963827,-73.0984001,40
"279",279,"Ski Bradford","http://www.skicentral.com/skibradford.html","Massachusetts","Haverhill, Massachusetts ",220,1300,NA,15,48,"n/a","yes",10,42.7447273,-71.0558152,52
"280",280,"Ski Ward","http://www.skicentral.com/skiward.html","Massachusetts","Shrewsbury, Massachusetts ",220,NA,NA,9,45,"n/a","yes",4,42.3014833,-71.6829768,52
"281",281,"Wachusett Mountain","http://www.skicentral.com/wachusettmountain.html","Massachusetts","Princeton, Massachusetts ",1000,NA,NA,22,110,"1.5 miles / 2.4 km","yes",8,42.4891723,-71.8870425,71
"282",282,"Cannon Mountain","http://www.skicentral.com/cannonmountain.html","New Hampshire","Franconia, New Hampshire ",2180,1900,160,72,282,"2.3 miles / 3.7 km","yes",10,44.1564536,-71.6984172,77
"283",283,"Loon Mountain","http://www.skicentral.com/loon.html","New Hampshire","Lincoln, New Hampshire ",2100,950,163,61,370,"2.5 miles / 4 km","yes",12,44.03597,-71.6214399,96
"284",284,"Wildcat Mountain","http://www.skicentral.com/wildcat.html","New Hampshire","Gorham, New Hampshire ",2112,1950,200,50,225,"2.75 miles / 4.4 km","yes",5,44.2589548,-71.2014625,85
"285",285,"Bretton Woods","http://www.skicentral.com/brettonwoods.html","New Hampshire","Carroll, New Hampshire ",1500,1600,200,97,464,"n/a","yes",10,44.2581201,-71.4411894,93
"286",286,"Attitash","http://www.skicentral.com/attitash.html","New Hampshire","Bartlett, New Hampshire ",1750,600,120,67,310,"n/a","yes",11,44.082771,-71.229443,85
"287",287,"Cranmore","http://www.skicentral.com/cranmore.html","New Hampshire","North Conway, New Hampshire ",1200,527,120,57,170,"5280 feet / 1609 metres","yes",9,44.0568523,-71.0995926,75
"288",288,"Mount Sunapee","http://www.skicentral.com/mountsunapee.html","New Hampshire","Newbury, New Hampshire ",1510,1230,100,66,233,"2 miles / 3.2 km","yes",11,43.313611,-72.074167,93
"289",289,"Black Mountain","http://www.skicentral.com/blackmountain.html","New Hampshire","Jackson, New Hampshire ",1100,1300,120,45,143,"n/a","yes",4,44.1666812,-71.1637835,59
"290",290,"Waterville Valley","http://www.skicentral.com/waterville.html","New Hampshire","Waterville Valley, New Hampshire ",2020,1984,148,52,220,"1.9 miles / 3.1 km","yes",11,43.9500695,-71.4995204,87
"291",291,"Tuckerman Ravine","http://www.skicentral.com/tuckerman.html","New Hampshire","Conway, New Hampshire ",NA,NA,NA,0,NA,"n/a","character(0)",0,44.2625024,-71.2983353,NA
"292",292,"Gunstock","http://www.skicentral.com/gunstock.html","New Hampshire","Gilford, New Hampshire ",1400,NA,120,55,227,"1.5 miles / 2.4 km","yes",8,43.5410554,-71.3628798,76
"293",293,"King Pine Ski Area","http://www.skicentral.com/kingpineskiarea.html","New Hampshire","Madison, New Hampshire ",350,NA,82,17,45,"n/a","yes",6,43.8680791,-71.0889018,55
"294",294,"Dartmouth Skiway","http://www.skicentral.com/dartmouthskiway.html","New Hampshire","Lyme, New Hampshire Mountain",968,975,NA,30,104,"1.25 miles / 2 km","yes",3,43.787748,-72.099538,49
"295",295,"Crotched Mountain","http://www.skicentral.com/crotchedmountain.html","New Hampshire","Bennington, New Hampshire ",1000,1050,NA,25,100,"1.23 miles / 2 km","yes",5,42.9984151,-71.8736895,69
"296",296,"Pats Peak","http://www.skicentral.com/patspeak.html","New Hampshire","Henniker, New Hampshire ",770,680,NA,28,NA,"1.5 miles / 2.4 km","yes",11,43.1627329,-71.7967168,70
"297",297,"Ragged MT","http://www.skicentral.com/raggedmt.html","New Hampshire","Danbury, New Hampshire ",1250,NA,NA,55,224,"n/a","yes",7,43.485429,-71.842089,79
"298",298,"Storrs Hill Ski Area","http://www.skicentral.com/storrshill.html","New Hampshire","character(0)",200,280,NA,2,NA,"n/a","yes",1,43.6351892,-72.2521083,15
"299",299,"McIntyre Ski Area","http://www.skicentral.com/mcintyreskiarea.html","New Hampshire","Manchester, New Hampshire ",200,NA,NA,9,NA,"n/a","character(0)",5,43.0065773,-71.4416724,38
"300",300,"Granite Gorge Ski Area","http://www.skicentral.com/granitegorgeskiarea.html","New Hampshire","Roxbury Center, New Hampshire ",390,NA,100,17,25,"n/a","yes",4,42.970978,-72.212044,33
"301",301,"Whaleback Ski Area","http://www.skicentral.com/whalebackskiarea.html","New Hampshire","Enfield, New Hampshire ",700,1100,110,30,85,"5280 feet / 1609 metres","yes",3,43.601705,-72.180265,45
"302",302,"Arrowhead Ski Area","http://www.skicentral.com/arrowheadskiarea.html","New Hampshire","Claremont, New Hampshire ",512,NA,NA,9,NA,"n/a","character(0)",2,43.3636884,-72.33384,NA
"303",303,"Whiteface Mountain","http://www.skicentral.com/whiteface.html","New York","Wilmington, New York ",3430,1220,195,86,283,"2.1 miles / 3.4 km","yes",11,44.3658804,-73.9026456,94
"304",304,"Gore Mountain","http://www.skicentral.com/goremountain.html","New York","North Creek, New York ",2537,998,150,107,439,"4.4 miles / 7.1 km","yes",14,43.6749627,-74.046371,86
"305",305,"Hunter Mountain","http://www.skicentral.com/huntermountain.html","New York","Hunter, New York ",1600,1600,125,58,240,"n/a","yes",12,42.2039476,-74.2232327,85
"306",306,"Belleayre Mountain","http://www.skicentral.com/belleayre.html","New York","Highmount, New York ",1404,2025,141,50,171,"12024 feet / 3665 meters","yes",8,42.1322453,-74.505312,68
"307",307,"Holiday Valley","http://www.skicentral.com/holidayvalley.html","New York","Ellicottville, New York ",750,1500,180,58,290,"4224 feet / 1287 metres","yes",13,42.2624734,-78.6682833,75
"308",308,"Windham Mountain","http://www.skicentral.com/skiwindham.html","New York","Windham, New York ",1600,1500,105,54,285,"12500 feet / 3810 meters","yes",12,42.2937298,-74.2567116,85
"309",309,"Greek Peak","http://www.skicentral.com/greekpeak.html","New York","Cortland, New York ",952,1148,122,38,220,"1.5 miles / 2.4 km","yes",6,42.5082644,-76.1454427,78
"310",310,"Catamount Ski Area","http://www.skicentral.com/catamount.html","New York","Hillsdale, New York ",1000,1000,75,36,130,"1.75 miles / 2.8 km","yes",7,42.1690998,-73.4769258,68
"311",311,"Peek'n Peak Resort","http://www.skicentral.com/peeknpeak.html","New York","Clymer, New York ",400,1400,200,27,105,"3281 feet / 1000 metres","yes",10,42.062038,-79.735593,59
"312",312,"HoliMont","http://www.skicentral.com/holimont.html","New York","Ellicottville, New York ",700,1560,180,52,135,"4000 feet / 1219 meters","yes",8,42.2732483,-78.689067,72
"313",313,"Titus Mountain","http://www.skicentral.com/titus.html","New York","Malone, New York ",1200,825,130,36,200,"n/a","yes",10,44.766619,-74.2329229,36
"314",314,"Kissing Bridge","http://www.skicentral.com/kissingbridge.html","New York","Glenwood Landing, New York ",550,1200,182,38,700,"6000 feet / 1829 meters","yes",10,42.6074594,-78.6527776,60
"315",315,"Buffalo Ski Club","http://www.skicentral.com/buffaloskiclub.html","New York","Colden, New York Mountain",500,2025,NA,43,300,"n/a","yes",6,42.680979,-78.69204,50
"316",316,"Bristol Mountain","http://www.skicentral.com/bristolmountain.html","New York","Canandaigua, New York ",1200,1000,NA,35,138,"n/a","yes",6,42.746697,-77.40194,74
"317",317,"Ski Big Tupper Again","http://www.skicentral.com/bigtupper.html","New York","Tupper Lake, New York ",1151,2000,90,25,NA,"n/a","no",2,44.2233425,-74.4661253,25
"318",318,"Hickory Ski Center","http://www.skicentral.com/hickoryskicenter.html","New York","Warrensburg, New York ",1200,700,80,18,225,"n/a","no",4,43.4744097,-73.8173438,45
"319",319,"Holiday Mountain","http://www.skicentral.com/holidaymountain.html","New York","Monticello, New York ",400,1150,90,6,37,"n/a","yes",3,41.629592,-74.6144896,42
"320",320,"Hunt Hollow Ski Club","http://www.skicentral.com/hunthollowskiclub.html","New York","Naples, New York ",825,NA,NA,20,80,"n/a","yes",4,42.6460964,-77.4781205,45
"321",321,"Four Seasons Golf and Ski Center","http://www.skicentral.com/fourseasonsgolfandskicenter.html","New York","Fayetteville, New York ",59,545,NA,4,12,"n/a","yes",2,43.034984,-75.971873,24
"322",322,"Cazenovia Ski Club","http://www.skicentral.com/cazenoviaskiclub.html","New York","Cazenovia, New York ",460,NA,NA,13,25,"n/a","character(0)",3,42.97673,-75.8557189,NA
"323",323,"Maple Ski Ridge","http://www.skicentral.com/mapleskiridge.html","New York","Schenectady, New York ",1200,750,NA,8,25,"n/a","yes",4,42.8177282,-74.0316482,38
"324",324,"McCauley Mountain","http://www.skicentral.com/mccauleymountain.html","New York","Old Forge, New York ",633,1567,281,21,75,"n/a","yes",5,43.6925675,-74.9612837,30
"325",325,"Mount Pisgah","http://www.skicentral.com/mountpisgah.html","New York","Saranac Lake, New York ",329,NA,NA,5,15,"n/a","yes",1,44.3456143,-74.1257132,25
"326",326,"Beartown Ski Area","http://www.skicentral.com/beartownskiarea.html","New York","West Chazy, New York ",150,NA,NA,9,NA,"n/a","yes",2,44.7640957,-73.5837774,22
"327",327,"Mt. Peter Ski Area","http://www.skicentral.com/mtpeterskiarea.html","New York","Warwick, New York ",400,NA,49,14,69,"n/a","yes",5,41.2477999,-74.2951873,54
"328",328,"Oak Mountain Ski Center","http://www.skicentral.com/oakmountainskicenter.html","New York","Speculator, New York ",650,1750,120,22,NA,"1.5 miles / 2.4 km","yes",3,43.5181145,-74.3622147,26
"329",329,"Plattekill","http://www.skicentral.com/plattekill.html","New York","Roxbury, New York ",1100,2400,190,35,112,"2 miles / 3.2 km","yes",3,41.6239741,-74.0593872,65
"330",330,"Polar Peak Ski Bowl","http://www.skicentral.com/polarpeakskibowl.html","New York","Taghkanic, NY ",114,NA,65,10,NA,"1320 feet / 402 metres","yes",1,43.6732782,-74.0068455,NA
"331",331,"Royal Mountain Ski Area","http://www.skicentral.com/royalmountainskiarea.html","New York","Johnstown, New York ",550,NA,NA,14,30,"n/a","yes",3,43.0813015,-74.5048141,45
"332",332,"Ski Venture","http://www.skicentral.com/skiventure.html","New York","Glenville, New York ",100,NA,NA,12,NA,"n/a","character(0)",2,42.9226824,-74.0364808,NA
"333",333,"Labrador Mountain","http://www.skicentral.com/labradormountain.html","New York","Cortland, New York ",700,1125,125,22,250,"5280 feet / 1609 metres","yes",6,42.741791,-76.030215,53
"334",334,"Snow Ridge Ski Area","http://www.skicentral.com/snowridgeskiarea.html","New York","Turin, New York ",500,NA,230,22,130,"n/a","yes",6,43.6397478,-75.4201233,40
"335",335,"Song Mountain","http://www.skicentral.com/songmountain.html","New York","Tully, NY ",700,NA,NA,24,100,"n/a","yes",5,42.774219,-76.158766,56
"336",336,"Swain Resort","http://www.skicentral.com/swainskicenter.html","New York","Swain, New York ",650,1320,130,30,100,"5280 feet / 1609 metres","yes",5,42.4765984,-77.8551328,56
"337",337,"Thunder Ridge Ski Area","http://www.skicentral.com/thunderridgeskiarea.html","New York","Patterson, New York ",600,NA,33,30,90,"n/a","yes",7,41.5120196,-73.5775763,52
"338",338,"Dry Hill Ski Area","http://www.skicentral.com/dryhill.html","New York","Watertown, New York Mountain",300,650,125,7,35,"n/a","yes",3,43.931234,-75.90181,40
"339",339,"Toggenburg Mountain","http://www.skicentral.com/toggenburgmountain.html","New York","Fabius, New York ",520,1260,NA,21,85,"5280 feet / 1609 metres","yes",5,42.8262361,-75.9598749,55
"340",340,"Tuxedo Ridge","http://www.skicentral.com/tuxedoridge.html","New York","Tuxedo Park, New York ",400,800,40,8,100,"2640 feet / 805 metres","yes",2,41.2481892,-74.2269919,NA
"341",341,"West Mountain Ski Center","http://www.skicentral.com/westmountainskicenter.html","New York","Queensbury, New York ",460,1010,NA,40,124,"n/a","yes",5,43.2856216,-73.7252813,59
"342",342,"Brantling Ski and Snowboard Center","http://www.skicentral.com/brantlingskiandsnowboardcenter.html","New York","Sodus, New York ",240,NA,NA,9,35,"n/a","yes",5,43.1500556,-77.0657092,32
"343",343,"Willard Mountain","http://www.skicentral.com/willardmountainnewyork.html","New York","Greenwich, New York ",505,910,NA,14,50,"n/a","yes",5,43.020657,-73.515881,38
"344",344,"Woods Valley Ski Area","http://www.skicentral.com/woodsvalleyskiarea.html","New York","Westernville, New York ",500,NA,NA,15,25,"n/a","yes",3,43.302667,-75.3847614,39
"345",345,"Yawgoo Valley","http://www.skicentral.com/yawgoovalley.html","Rhode Island","Exeter, Rhode Island Mountain",245,70,48,12,36,"n/a","yes",3,41.517597,-71.52726,47
"346",346,"Killington","http://www.skicentral.com/killington.html","Vermont","Killington, Vermont ",3050,1165,250,155,1509,"n/a","yes",22,43.6775677,-72.7798247,115
"347",347,"Stowe","http://www.skicentral.com/stowe.html","Vermont","Stowe, Vermont ",2360,1559,314,116,485,"n/a","yes",13,44.4654332,-72.6874023,99
"348",348,"Okemo Mountain Resort","http://www.skicentral.com/okemo.html","Vermont","Ludlow, Vermont ",2200,1144,200,120,655,"4.5 miles / 7.2 km","yes",19,43.4015593,-72.7170006,110
"349",349,"Sugarbush","http://www.skicentral.com/sugarbush.html","Vermont","Warren, Vermont ",2600,1483,269,111,578,"n/a","yes",16,44.13607,-72.8944,89
"350",350,"Jay Peak","http://www.skicentral.com/jaypeak.html","Vermont","Jay, Vermont ",2153,1815,251,78,385,"3 miles / 4.8 km","yes",9,44.9379405,-72.5045173,84
"351",351,"Smugglers Notch","http://www.skicentral.com/smugglersnotch.html","Vermont","Jeffersonville, Vermont ",2610,1030,288,78,1000,"n/a","yes",8,44.5553294,-72.795679,76
"352",352,"Stratton","http://www.skicentral.com/stratton.html","Vermont","Stratton Mountain, Vermont ",2003,1872,180,97,670,"3 miles / 4.8 km","yes",11,43.0428562,-72.9109334,115
"353",353,"Mount Snow / Haystack","http://www.skicentral.com/mountsnow.html","Vermont","West Dover, Vermont ",1700,1900,156,80,588,"n/a","yes",20,42.9139691,-72.9195441,100
"354",354,"Magic Mountain","http://www.skicentral.com/magicmountain.html","Vermont","Londonderry, Vermont ",1700,1150,180,43,195,"1.6 miles / 2.6 km","yes",4,43.201708,-72.772646,69
"355",355,"Bromley Mountain","http://www.skicentral.com/bromley.html","Vermont","Peru, Vermont ",1334,1950,145,46,178,"2.5 miles / 4 km","yes",9,43.2135167,-72.9348876,80
"356",356,"Mad River Glen","http://www.skicentral.com/madriverglen.html","Vermont","Waitsfield, Vermont ",2037,1600,250,45,115,"n/a","yes",4,44.2024842,-72.9175431,89
"357",357,"Bolton Valley","http://www.skicentral.com/boltonvalley.html","Vermont","Bolton, Vermont Mountain",1704,2100,312,71,300,"n/a","yes",6,44.42099,-72.850323,74
"358",358,"Pico Mountain","http://www.skicentral.com/pico.html","Vermont","Killington, Vermont ",1967,2000,250,57,265,"n/a","yes",7,43.6621499,-72.842512,79
"359",359,"The Quechee Club","http://www.skicentral.com/quecheelakes.html","Vermont","Quechee, Vermont ",650,600,NA,13,NA,"n/a","yes",3,43.6570521,-72.4403071,45
"360",360,"Middlebury College Snow Bowl","http://www.skicentral.com/middleburycollegesnowbowl.html","Vermont","Hancock, Vermont ",1050,1700,150,17,600,"n/a","character(0)",4,43.9391922,-72.9575872,55
"361",361,"Lyndon Outing Club","http://www.skicentral.com/lyndonoutingclub.html","Vermont","Lyndonville, Vermont ",433,NA,NA,9,18,"n/a","no",2,44.5333103,-71.9872058,15
"362",362,"Cochran's Ski Area","http://www.skicentral.com/cochransskiarea.html","Vermont","Richmond, Vermont ",350,600,150,8,15,"3281 feet / 1000 metres","yes",3,44.3962325,-72.9820347,25
"363",363,"Burke Mountain","http://www.skicentral.com/burke.html","Vermont","East Burke, Vermont ",2011,1267,217,50,260,"2.5 miles / 4 km","yes",6,44.5877729,-71.9163107,69
"364",364,"Suicide Six","http://www.skicentral.com/suicidesix.html","Vermont","Woodstock, Vermont ",650,550,110,23,100,"5280 feet / 1609 metres","yes",3,43.6650614,-72.5432659,72
"365",365,"Cloudmont","http://www.skicentral.com/cloudmont.html","Alabama","Mentone, Alabama Mountain",150,1650,NA,2,9,"n/a","character(0)",2,34.5418121,-85.6049864,33
"366",366,"WISP Ski Resort","http://www.skicentral.com/wisp.html","Maryland","McHenry, Maryland Special Packages at Woodloch Resort - Ski 'N' StayWoodloch Pines Resort is just a short 90 mile drive from the NYC area! Winner of Trip Advisor's 2012 'Traveler's Choice Award.' Kids 6 & under free during select midweeks! ",700,2415,100,32,132,"n/a","yes",12,39.5568677,-79.3634466,79
"367",367,"Mountain Creek","http://www.skicentral.com/mountaincreek.html","New Jersey","Vernon, New Jersey ",1040,NA,65,46,NA,"n/a","yes",8,41.1907552,-74.5051199,74
"368",368,"Campgaw Mountain","http://www.skicentral.com/campgawmountain.html","New Jersey","Mahwah, New Jersey ",270,NA,NA,13,18,"n/a","yes",5,41.0586447,-74.1949637,41
"369",369,"Sugar Mountain Ski Resort","http://www.skicentral.com/sugarmountain.html","North Carolina","Banner Elk, North Carolina ",1200,4100,70,20,115,"n/a","yes",6,36.129954,-81.856974,74
"370",370,"Appalachian Ski Mtn","http://www.skicentral.com/appalachian.html","North Carolina","Blowing Rock, North Carolina ",365,3635,NA,12,NA,"2640 feet / 805 metres","yes",6,36.1744099,-81.6625573,62
"371",371,"Ski Beech","http://www.skicentral.com/skibeech.html","North Carolina","Banner Elk, North Carolina ",830,4675,NA,15,95,"n/a","yes",10,36.1946784,-81.8779951,67
"372",372,"Hawksnest Snow Tubing Resort","http://www.skicentral.com/hawksnest.html","North Carolina","Seven Devils, North Carolina ",669,NA,NA,30,NA,"1000 feet / 305 meters","yes",2,36.1430589,-81.8262335,34
"373",373,"Cataloochee Ski Area","http://www.skicentral.com/cataloocheeskiarea.html","North Carolina","Maggie Valley, North Carolina Mountain",740,4660,NA,17,NA,"n/a","yes",5,35.562438,-83.089964,65
"374",374,"Sapphire Valley","http://www.skicentral.com/sapphirevalley.html","North Carolina","Cashiers, North Carolina ",200,NA,NA,2,NA,"1600 feet / 488 meters","yes",1,35.1250591,-83.0575867,43
"375",375,"Wolf Laurel","http://www.skicentral.com/wolflaurel.html","North Carolina","character(0)",650,3950,50,22,54,"5280 feet / 1609 meters","yes",5,35.9692299,-82.5023464,56
"376",376,"Wolf Ridge Ski Slopes","http://www.skicentral.com/wolfridge.html","North Carolina","Mars Hill, North Carolina Mountain",700,4000,NA,15,72,"n/a","yes",3,35.9550983,-82.5090463,56
"377",377,"Blue Mountain Ski Area","http://www.skicentral.com/bluemountainskiarea.html","Pennsylvania","Palmerton, Pennsylvania ",1082,NA,NA,39,164,"1.2 miles / 1.9 km","yes",16,40.8226426,-75.5124842,62
"378",378,"Camelback Ski Resort","http://www.skicentral.com/camelback.html","Pennsylvania","Tannersville, Pennsylvania Special Packages at Woodloch Resort - Ski 'N' StaySKI & STAY Packages at Woodloch Pines Resort provide great value- a family vacation experience coupled with the great ski conditions of the Poconos! Kids 6 & under free during select midweeks! ",800,1240,50,34,160,"5280 feet / 1609 metres","yes",15,41.0516546,-75.3555267,67
"379",379,"Montage Mountain","http://www.skicentral.com/montage.html","Pennsylvania","Scranton, Pennsylvania ",1000,NA,60,30,140,"1.2 miles / 1.9 km","yes",7,41.3512429,-75.6629169,50
"380",380,"Shawnee Mountain","http://www.skicentral.com/shawneemountain.html","Pennsylvania","East Stroudsburg, Pennsylvania ",700,650,50,23,125,"5069 feet / 1545 metres","yes",10,41.039612,-75.085262,65
"381",381,"Seven Springs","http://www.skicentral.com/sevensprings.html","Pennsylvania","Seven Springs, Pennsylvania ",750,2240,135,33,285,"1.3 miles / 2.1 km","yes",11,40.0219309,-79.29024,85
"382",382,"Elk Mountain","http://www.skicentral.com/elkmountain.html","Pennsylvania","Union Dale, Pennsylvania Special Packages at Woodloch Resort - Ski 'N' StaySKI & STAY Packages at Woodloch Pines Resort provide great value- a family vacation experience coupled with the great ski conditions of the Poconos! Kids 6 & under free during select midweeks! ",1000,1693,65,27,140,"3696 feet / 1127 metres","yes",7,41.7234046,-75.5534275,67
"383",383,"Blue Knob Ski Resort","http://www.skicentral.com/blueknob.html","Pennsylvania","Claysburg, Pennsylvania Mountain",1072,2074,100,34,82,"n/a","yes",5,40.2968813,-78.543661,65
"384",384,"Whitetail Ski Resort","http://www.skicentral.com/whitetail.html","Pennsylvania","Mercersburg, Pennsylvania ",935,865,40,23,109,"4858 feet / 1481 metres","yes",9,39.7417681,-77.9332807,77
"385",385,"Jack Frost Big Boulder","http://www.skicentral.com/jackfrost.html","Pennsylvania","White Haven, Pennsylvania ",600,1400,50,36,NA,"2640 feet / 805 metres","yes",18,41.110006,-75.65123,60
"386",386,"Ski Big Bear","http://www.skicentral.com/skibigbear.html","Pennsylvania","Lackawaxen, Pennsylvania Special Packages at Woodloch Resort - Ski 'N' StaySKI & STAY Packages at Woodloch Pines Resort provide great value- a family vacation experience coupled with the great ski conditions of the Poconos! Kids 6 & under free during select midweeks! ",650,NA,50,18,NA,"n/a","yes",6,41.5224238,-75.0235745,60
"387",387,"Boyce Park","http://www.skicentral.com/boycepark.html","Pennsylvania","character(0)",180,1092,36,9,25,"1200 feet / 366 meters","yes",5,40.4638133,-79.7537469,NA
"388",388,"Hidden Valley","http://www.skicentral.com/hiddenvalley.html","Pennsylvania","Hidden Valley, Pennsylvania ",470,2405,NA,28,70,"n/a","character(0)",9,40.1067745,-75.3779632,67
"389",389,"Eagle Rock","http://www.skicentral.com/eaglerock.html","Pennsylvania","Hazleton, Pennsylvania ",550,NA,NA,13,NA,"5280 feet / 1609 metres","yes",3,41.452561,-79.575327,NA
"390",390,"Bear Creek Ski & Recreation Area","http://www.skicentral.com/bearcreekskirecreationarea.html","Pennsylvania","Macungie, Pennsylvania ",510,NA,NA,21,86,"n/a","yes",6,40.4753327,-75.6252952,59
"391",391,"Laurel Mountain Ski Resort","http://www.skicentral.com/laurelmountainskiresort.html","Pennsylvania","character(0)",NA,NA,NA,0,NA,"n/a","character(0)",0,40.1635126,-79.1654071,55
"392",392,"Mount Pleasant","http://www.skicentral.com/mountpleasant.html","Pennsylvania","Edinboro, Pennsylvania Mountain",340,NA,NA,10,40,"2400 feet / 732 meters","character(0)",2,40.1489607,-79.5411497,33
"393",393,"Liberty Mountain Resort","http://www.skicentral.com/skiliberty.html","Pennsylvania","Carroll Valley, Pennsylvania ",620,570,31,16,100,"5174 feet / 1577 metres","yes",9,39.76366,-77.375459,75
"394",394,"Ski Roundtop","http://www.skicentral.com/skiroundtop.html","Pennsylvania","Lewisberry, Pennsylvania ",600,735,31,16,NA,"n/a","yes",9,40.1094506,-76.9275492,71
"395",395,NA,"http://www.skicentral.com/skisawmill.html","Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,64.2008413,-149.4936733,NA
"396",396,"Spring Mountain","http://www.skicentral.com/springmountain.html","Pennsylvania","Spring Mount, Pennsylvania ",420,108,27,8,NA,"n/a","yes",5,40.2756574,-75.4565657,48
"397",397,"Tussey Mountain","http://www.skicentral.com/tusseymountain.html","Pennsylvania","Boalsburg, Pennsylvania ",520,1230,NA,7,38,"3960 feet / 1207 metres","yes",4,40.7693415,-77.754014,39
"398",398,"Alpine Mountain","http://www.skicentral.com/alpinemountain.html","Pennsylvania","Henryville, Pennsylvania ",500,600,50,21,120,"3281 feet / 1000 metres","yes",3,40.5009186,-79.9658155,55
"399",399,"Ober Gatlinburg","http://www.skicentral.com/obergatlinburg.html","Tennessee","Gatlinburg, Tennessee Mountain",556,NA,NA,10,NA,"4400 feet / 1341 meters","character(0)",5,35.7088894,-83.5213826,65
"400",400,"Wintergreen Resort","http://www.skicentral.com/wintergreen.html","Virginia","Wintergreen, Virginia Mountain",1003,2497,40,25,129,"n/a","character(0)",5,37.914883,-78.943848,79
"401",401,"Bryce Resort","http://www.skicentral.com/bryceresort.html","Virginia","Basye, Virginia Mountain",500,1250,NA,8,NA,"3500 feet / 1067 meters","yes",5,38.8174647,-78.7656946,67
"402",402,"Liberty Snowflex","http://www.skicentral.com/libertysnowflex.html","Virginia","Lynchburg, Virginia Mountain",NA,NA,NA,1,NA,"n/a","character(0)",2,37.352765,-79.166669,30
"403",403,"Massanutten Resort","http://www.skicentral.com/massanuttenresort.html","Virginia","Massanutten, Virginia Mountain",1110,NA,NA,14,NA,"n/a","yes",8,38.406572,-78.716122,74
"404",404,"Omini Homestead Resort","http://www.skicentral.com/thehomestead.html","Virginia","Hot Springs, Virginia Mountain",700,2500,NA,10,NA,"n/a","yes",5,37.9972701,-79.829662,NA
"405",405,"Snowshoe Mountain","http://www.skicentral.com/snowshoe.html","West Virginia","Snowshoe, West Virginia ",1500,3348,180,60,244,"1.5 miles / 2.4 km","yes",14,38.4107965,-79.9936029,99
"406",406,"Timberline Resort","http://www.skicentral.com/timberline.html","West Virginia","character(0)",1000,3268,200,37,100,"2 miles / 3.2 km","yes",4,39.042453,-79.39903,92
"407",407,"Winterplace Ski Resort","http://www.skicentral.com/winterplace.html","West Virginia","Ghent, West Virginia Mountain",603,2997,100,27,90,"5280 feet / 1609 metres","yes",9,37.5957453,-81.1199689,70
"408",408,"Canaan Valley","http://www.skicentral.com/canaanvalley.html","West Virginia","Davis, West Virginia Mountain",850,3430,150,39,78,"1.1 miles / 1.8 km","yes",3,39.1254028,-79.3825401,68
"409",409,"Oglebay Resort","http://www.skicentral.com/oglebay.html","West Virginia","Wheeling, West Virginia Mountain",168,NA,NA,1,NA,"815 feet / 248 meters","yes",1,40.1047993,-80.6593457,28
"410",410,"Lake Louise","http://www.skicentral.com/lakelouise.html","Alberta","Lake Louise, Alberta ",3250,5400,178,139,4200,"5 miles / 8 km","character(0)",9,51.4253705,-116.1772552,104
"411",411,"Sunshine Village","http://www.skicentral.com/sunshine.html","Alberta","Banff, Alberta ",3510,5446,360,107,3358,"3 miles / 4.8 km","yes",12,51.1151858,-115.7632758,109
"412",412,"Mount Norquay","http://www.skicentral.com/norquay.html","Alberta","Banff, Alberta ",1650,5500,120,28,190,"3281 feet / 1000 metres","yes",5,51.2014951,-115.5999046,74
"413",413,"Marmot Basin","http://www.skicentral.com/marmotbasin.html","Alberta","Lake Louise, Alberta Mountain",3000,5570,160,86,1675,"3.7 miles / 6 km","character(0)",8,52.8011121,-118.0831592,95
"414",414,"Nakiska","http://www.skicentral.com/nakiska.html","Alberta","Kananaskis, Alberta Mountain",2555,4851,98,64,1021,"2 miles / 3.2 km","yes",6,50.9427038,-115.1510985,85
"415",415,"Castle Mountain Resort","http://www.skicentral.com/castlemountain.html","Alberta","Pincher Creek, Alberta ",2833,4630,358,78,3500,"3.1 miles / 5 km","character(0)",6,49.3191376,-114.412619,84
"416",416,"Canyon Ski Area","http://www.skicentral.com/canyonskiarea.html","Alberta","Red Deer, Alberta Mountain",538,2412,45,18,71,"3937 feet / 1200 meters","yes",5,52.3040051,-113.6826235,43
